"","x"
"662","Tinggi"
"663","Tinggi"
"664","Tinggi"
"665","Tinggi"
"666","Tinggi"
"667","Tinggi"
"668","Tinggi"
"669","Tinggi"
"670","Tinggi"
"671","Tinggi"
"672","Tinggi"
"673","Tinggi"
"674","Tinggi"
"675","Tinggi"
"676","Tinggi"
"677","Tinggi"
"678","Tinggi"
"679","Tinggi"
"680","Tinggi"
"681","Tinggi"
"682","Tinggi"
"683","Tinggi"
"684","Tinggi"
"685","Tinggi"
"686","Tinggi"
"687","Tinggi"
"688","Tinggi"
"689","Tinggi"
"690","Tinggi"
"691","Tinggi"
"692","Tinggi"
"693","Tinggi"
"694","Tinggi"
"695","Tinggi"
"696","Tinggi"
"697","Tinggi"
"698","Tinggi"
"699","Tinggi"
"700","Tinggi"
"701","Tinggi"
"702","Tinggi"
"703","Tinggi"
"704","Tinggi"
"705","Tinggi"
"706","Tinggi"
"707","Tinggi"
"708","Tinggi"
"709","Tinggi"
"710","Tinggi"
"711","Tinggi"
"712","Tinggi"
"713","Tinggi"
"714","Tinggi"
"715","Tinggi"
"716","Tinggi"
"717","Tinggi"
"718","Tinggi"
"719","Tinggi"
"720","Tinggi"
"721","Tinggi"
"722","Tinggi"
"723","Tinggi"
"724","Tinggi"
"725","Tinggi"
"726","Tinggi"
"727","Tinggi"
"728","Tinggi"
"729","Tinggi"
"730","Tinggi"
"731","Tinggi"
"732","Tinggi"
"733","Tinggi"
"734","Tinggi"
"735","Tinggi"
"736","Tinggi"
"737","Tinggi"
"738","Tinggi"
"739","Tinggi"
"740","Tinggi"
"741","Tinggi"
"742","Tinggi"
"743","Tinggi"
"744","Tinggi"
"745","Tinggi"
"746","Tinggi"
"747","Tinggi"
"748","Tinggi"
"749","Tinggi"
"750","Tinggi"
"751","Tinggi"
"752","Tinggi"
"753","Tinggi"
"754","Tinggi"
"755","Tinggi"
"756","Tinggi"
"757","Tinggi"
"758","Tinggi"
"759","Tinggi"
"760","Tinggi"
"761","Tinggi"
"762","Tinggi"
"763","Tinggi"
"764","Tinggi"
"765","Tinggi"
"766","Tinggi"
"767","Tinggi"
"768","Tinggi"
"769","Tinggi"
"770","Tinggi"
"771","Tinggi"
"772","Tinggi"
"773","Tinggi"
"774","Tinggi"
"775","Tinggi"
"776","Tinggi"
"777","Tinggi"
"778","Tinggi"
"779","Tinggi"
"780","Tinggi"
"781","Tinggi"
"782","Tinggi"
"783","Tinggi"
"784","Tinggi"
"785","Tinggi"
"786","Tinggi"
"787","Tinggi"
"788","Tinggi"
"789","Tinggi"
"790","Tinggi"
"791","Tinggi"
"792","Tinggi"
"793","Tinggi"
"794","Tinggi"
"795","Tinggi"
"796","Tinggi"
"797","Tinggi"
"798","Tinggi"
"799","Tinggi"
"800","Tinggi"
"801","Tinggi"
"802","Tinggi"
"803","Tinggi"
"804","Tinggi"
"805","Tinggi"
"806","Tinggi"
"807","Tinggi"
"808","Tinggi"
"809","Tinggi"
"810","Tinggi"
"811","Tinggi"
"812","Tinggi"
"813","Tinggi"
"814","Tinggi"
"815","Tinggi"
"816","Tinggi"
"817","Tinggi"
"818","Tinggi"
"819","Tinggi"
"820","Tinggi"
"821","Tinggi"
"822","Tinggi"
"823","Tinggi"
"824","Tinggi"
"825","Tinggi"
"826","Tinggi"
"827","Tinggi"
"828","Tinggi"
"829","Tinggi"
"830","Tinggi"
"831","Tinggi"
"832","Tinggi"
"833","Tinggi"
"834","Tinggi"
"835","Tinggi"
"836","Tinggi"
"837","Tinggi"
"838","Tinggi"
"839","Tinggi"
"840","Tinggi"
"841","Tinggi"
"842","Tinggi"
"843","Tinggi"
"844","Tinggi"
"845","Tinggi"
"846","Tinggi"
"847","Tinggi"
"848","Tinggi"
"849","Tinggi"
"850","Tinggi"
"851","Tinggi"
"852","Tinggi"
"853","Tinggi"
"854","Tinggi"
"855","Tinggi"
"856","Tinggi"
"857","Tinggi"
"858","Tinggi"
"859","Tinggi"
"860","Tinggi"
"861","Tinggi"
"862","Tinggi"
"863","Tinggi"
"864","Tinggi"
"865","Tinggi"
"866","Tinggi"
"867","Tinggi"
"868","Tinggi"
"869","Tinggi"
"870","Tinggi"
"871","Tinggi"
"872","Tinggi"
"873","Tinggi"
"874","Tinggi"
"875","Tinggi"
"876","Tinggi"
"877","Tinggi"
"878","Tinggi"
"879","Tinggi"
"880","Tinggi"
"881","Tinggi"
"882","Tinggi"
"883","Tinggi"
"884","Tinggi"
"885","Tinggi"
"886","Tinggi"
"887","Tinggi"
"888","Tinggi"
"889","Tinggi"
"890","Tinggi"
"891","Tinggi"
"892","Tinggi"
"893","Tinggi"
"894","Tinggi"
"895","Tinggi"
"896","Tinggi"
"897","Tinggi"
"898","Tinggi"
"899","Tinggi"
"900","Tinggi"
"901","Tinggi"
"902","Tinggi"
"903","Tinggi"
"904","Tinggi"
"905","Tinggi"
"906","Tinggi"
"907","Tinggi"
"908","Tinggi"
"909","Tinggi"
"910","Tinggi"
"911","Tinggi"
"912","Tinggi"
"913","Tinggi"
"914","Tinggi"
"915","Tinggi"
"916","Tinggi"
"917","Tinggi"
"918","Tinggi"
"919","Tinggi"
"920","Tinggi"
"921","Tinggi"
"922","Tinggi"
"923","Tinggi"
"924","Tinggi"
"925","Tinggi"
"926","Tinggi"
"927","Tinggi"
"928","Tinggi"
"929","Tinggi"
"930","Tinggi"
"931","Tinggi"
"932","Tinggi"
"933","Tinggi"
"934","Tinggi"
"935","Tinggi"
"936","Tinggi"
"937","Tinggi"
"938","Tinggi"
"939","Tinggi"
"940","Tinggi"
"941","Tinggi"
"942","Tinggi"
"943","Tinggi"
"944","Tinggi"
"945","Tinggi"
"946","Tinggi"
"947","Tinggi"
"948","Tinggi"
"949","Tinggi"
"950","Tinggi"
"951","Tinggi"
"952","Tinggi"
"953","Tinggi"
"954","Tinggi"
"955","Tinggi"
"956","Tinggi"
"957","Tinggi"
"958","Tinggi"
"959","Tinggi"
"960","Tinggi"
"961","Tinggi"
"962","Tinggi"
"963","Tinggi"
"964","Tinggi"
"965","Tinggi"
"966","Tinggi"
"967","Tinggi"
"968","Tinggi"
"969","Tinggi"
"970","Tinggi"
"971","Tinggi"
"972","Tinggi"
"973","Tinggi"
"974","Tinggi"
"975","Tinggi"
"976","Tinggi"
"977","Tinggi"
"978","Tinggi"
"979","Tinggi"
"980","Tinggi"
"981","Tinggi"
"982","Tinggi"
"983","Tinggi"
"984","Tinggi"
"985","Tinggi"
"986","Tinggi"
"987","Tinggi"
"988","Tinggi"
"989","Tinggi"
"990","Tinggi"
"991","Tinggi"
"992","Tinggi"
"993","Tinggi"
"994","Tinggi"
"995","Tinggi"
"996","Tinggi"
"997","Tinggi"
"998","Tinggi"
"999","Tinggi"
"1000","Tinggi"
"1001","Tinggi"
"1002","Tinggi"
"1003","Tinggi"
"1004","Tinggi"
"1005","Tinggi"
"1006","Tinggi"
"1007","Tinggi"
"1008","Tinggi"
"1009","Tinggi"
"1010","Tinggi"
"1011","Tinggi"
"1012","Tinggi"
"1013","Tinggi"
"1014","Tinggi"
"1015","Tinggi"
"1016","Tinggi"
"1017","Tinggi"
"1018","Tinggi"
"1019","Tinggi"
"1020","Tinggi"
"1021","Tinggi"
"1022","Tinggi"
"1023","Tinggi"
"1024","Tinggi"
"1025","Tinggi"
"1026","Tinggi"
"1027","Tinggi"
"1028","Tinggi"
"1029","Tinggi"
"1030","Tinggi"
"1031","Tinggi"
"1032","Tinggi"
"1033","Tinggi"
"1034","Tinggi"
"1035","Tinggi"
"1036","Tinggi"
"1037","Tinggi"
"1038","Tinggi"
"1039","Tinggi"
"1040","Tinggi"
"1041","Tinggi"
"1042","Tinggi"
"1043","Tinggi"
"1044","Tinggi"
"1045","Tinggi"
"1046","Tinggi"
"1047","Tinggi"
"1048","Tinggi"
"1049","Tinggi"
"1050","Tinggi"
"1051","Tinggi"
"1052","Tinggi"
"1053","Tinggi"
"1054","Tinggi"
"1055","Tinggi"
"1056","Tinggi"
"1057","Tinggi"
"1058","Tinggi"
"1059","Tinggi"
"1060","Tinggi"
"1061","Tinggi"
"1062","Tinggi"
"1063","Tinggi"
"1064","Tinggi"
"1065","Tinggi"
"1066","Tinggi"
"1067","Tinggi"
"1068","Tinggi"
"1069","Tinggi"
"1070","Tinggi"
"1071","Tinggi"
"1072","Tinggi"
"1073","Tinggi"
"1074","Tinggi"
"1075","Tinggi"
"1076","Tinggi"
"1077","Tinggi"
"1078","Tinggi"
"1079","Tinggi"
"1080","Tinggi"
"1081","Tinggi"
"1082","Tinggi"
"1083","Tinggi"
"1084","Tinggi"
"1085","Tinggi"
"1086","Tinggi"
"1087","Tinggi"
"1088","Tinggi"
"1089","Tinggi"
"1090","Tinggi"
"1091","Tinggi"
"1092","Tinggi"
"1093","Tinggi"
"1094","Tinggi"
"1095","Tinggi"
"1096","Tinggi"
"1097","Tinggi"
"1098","Tinggi"
"1099","Tinggi"
"1100","Tinggi"
"1101","Tinggi"
"1102","Tinggi"
"1103","Tinggi"
"1104","Tinggi"
"1105","Tinggi"
"1106","Tinggi"
"1107","Tinggi"
"1108","Tinggi"
"1109","Tinggi"
"1110","Tinggi"
"1111","Tinggi"
"1112","Tinggi"
"1113","Tinggi"
"1114","Tinggi"
"1115","Tinggi"
"1116","Tinggi"
"1117","Tinggi"
"1118","Tinggi"
"1119","Tinggi"
"1120","Tinggi"
"1121","Tinggi"
"1122","Tinggi"
"1123","Tinggi"
"1124","Tinggi"
"1125","Tinggi"
"1126","Tinggi"
"1127","Tinggi"
"1128","Tinggi"
"1129","Tinggi"
"1130","Tinggi"
"1131","Tinggi"
"1132","Tinggi"
"1133","Tinggi"
"1134","Tinggi"
"1135","Tinggi"
"1136","Tinggi"
"1137","Tinggi"
"1138","Tinggi"
"1139","Tinggi"
"1140","Tinggi"
"1141","Tinggi"
"1142","Tinggi"
"1143","Tinggi"
"1144","Tinggi"
"1145","Tinggi"
"1146","Tinggi"
"1147","Tinggi"
"1148","Tinggi"
"1149","Tinggi"
"1150","Tinggi"
"1151","Tinggi"
"1152","Tinggi"
"1153","Tinggi"
"1154","Tinggi"
"1155","Tinggi"
"1156","Tinggi"
"1157","Tinggi"
"1158","Tinggi"
"1159","Tinggi"
"1160","Tinggi"
"1161","Tinggi"
"1162","Tinggi"
"1163","Tinggi"
"1164","Tinggi"
"1165","Tinggi"
"1166","Tinggi"
"1167","Tinggi"
"1168","Tinggi"
"1169","Tinggi"
"1170","Tinggi"
"1171","Tinggi"
"1172","Tinggi"
"1173","Tinggi"
"1174","Tinggi"
"1175","Tinggi"
"1176","Tinggi"
"1177","Tinggi"
"1178","Tinggi"
"1179","Tinggi"
"1180","Tinggi"
"1181","Tinggi"
"1182","Tinggi"
"1183","Tinggi"
"1184","Tinggi"
"1185","Tinggi"
"1186","Tinggi"
"1187","Tinggi"
"1188","Tinggi"
"1189","Tinggi"
"1190","Tinggi"
"1191","Tinggi"
"1192","Tinggi"
"1193","Tinggi"
"1194","Tinggi"
"1195","Tinggi"
"1196","Tinggi"
"1197","Tinggi"
"1198","Tinggi"
"1199","Tinggi"
"1200","Tinggi"
"1201","Tinggi"
"1202","Tinggi"
"1203","Tinggi"
"1204","Tinggi"
"1205","Tinggi"
"1206","Tinggi"
"1207","Tinggi"
"1208","Tinggi"
"1209","Tinggi"
"1210","Tinggi"
"1211","Tinggi"
"1212","Tinggi"
"1213","Tinggi"
"1214","Tinggi"
"1215","Tinggi"
"1216","Tinggi"
"1217","Tinggi"
"1218","Tinggi"
"1219","Tinggi"
"1220","Tinggi"
"1221","Tinggi"
"1222","Tinggi"
"1223","Tinggi"
"1224","Tinggi"
"1225","Tinggi"
"1226","Tinggi"
"1227","Tinggi"
"1228","Tinggi"
"1229","Tinggi"
"1230","Tinggi"
"1231","Tinggi"
"1232","Tinggi"
"1233","Tinggi"
"1234","Tinggi"
"1235","Tinggi"
"1236","Tinggi"
"1237","Tinggi"
"1238","Tinggi"
"1239","Tinggi"
"1240","Tinggi"
"1241","Tinggi"
"1242","Tinggi"
"1243","Tinggi"
"1244","Tinggi"
"1245","Tinggi"
"1246","Tinggi"
"1247","Tinggi"
"1248","Tinggi"
"1249","Tinggi"
"1250","Tinggi"
"1251","Tinggi"
"1252","Tinggi"
"1253","Tinggi"
"1254","Tinggi"
"1255","Tinggi"
"1256","Tinggi"
"1257","Tinggi"
"1258","Tinggi"
"1259","Tinggi"
"1260","Tinggi"
"1261","Tinggi"
"1262","Tinggi"
"1263","Tinggi"
"1264","Tinggi"
"1265","Tinggi"
"1266","Tinggi"
"1267","Tinggi"
"1268","Tinggi"
"1269","Tinggi"
"1270","Tinggi"
"1271","Tinggi"
"1272","Tinggi"
"1273","Tinggi"
"1274","Tinggi"
"1275","Tinggi"
"1276","Tinggi"
"1277","Tinggi"
"1278","Tinggi"
"1279","Tinggi"
"1280","Tinggi"
"1281","Tinggi"
"1282","Tinggi"
"1283","Tinggi"
"1284","Tinggi"
"1285","Tinggi"
"1286","Tinggi"
"1287","Tinggi"
"1288","Tinggi"
"1289","Tinggi"
"1290","Tinggi"
"1291","Tinggi"
"1292","Tinggi"
"1293","Tinggi"
"1294","Tinggi"
"1295","Tinggi"
"1296","Tinggi"
"1297","Tinggi"
"1298","Tinggi"
"1299","Tinggi"
"1300","Tinggi"
"1301","Tinggi"
"1302","Tinggi"
"1303","Tinggi"
"1304","Tinggi"
"1305","Tinggi"
"1306","Tinggi"
"1307","Tinggi"
"1308","Tinggi"
"1309","Tinggi"
"1310","Tinggi"
"1311","Tinggi"
"1312","Tinggi"
"1313","Tinggi"
"1314","Tinggi"
"1315","Tinggi"
"1316","Tinggi"
"1317","Tinggi"
"1318","Tinggi"
"1319","Tinggi"
"1320","Tinggi"
"1321","Tinggi"
"1322","Tinggi"
"1323","Tinggi"
"1324","Tinggi"
"1325","Tinggi"
"1326","Tinggi"
"1327","Tinggi"
"1328","Tinggi"
"1329","Tinggi"
"1330","Tinggi"
"1331","Tinggi"
"1332","Tinggi"
"1333","Tinggi"
"1334","Tinggi"
"1335","Tinggi"
"1336","Tinggi"
"1337","Tinggi"
"1338","Tinggi"
"1339","Tinggi"
"1340","Tinggi"
"1341","Tinggi"
"1342","Tinggi"
"1343","Tinggi"
"1344","Tinggi"
"1345","Tinggi"
"1346","Tinggi"
"1347","Tinggi"
"1348","Tinggi"
"1349","Tinggi"
"1350","Tinggi"
"1351","Tinggi"
"1352","Tinggi"
"1353","Tinggi"
"1354","Tinggi"
"1355","Tinggi"
"1356","Tinggi"
"1357","Tinggi"
"1358","Tinggi"
"1359","Tinggi"
"1360","Tinggi"
"1361","Tinggi"
"1362","Tinggi"
